"Reporting starts","Reporting ends","Ad name","Date created","Attribution setting","Amount spent (USD)","Cost per results","Result indicator",Purchases,"Purchase ROAS (return on ad spend)","CPM (cost per 1,000 impressions) (USD)","CPC (cost per link click) (USD)","Unique CTR (link click-through rate)",Reach,Impressions,Hook,Hold
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",42.7,42.7,actions:offsite_conversion.fb_pixel_purchase,1,1.40445,3.626019,0.371304,1.163283,9456,11776,0.26579484,0.03150476
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",2.21,,,,,4.025501,0.315714,1.335878,524,549,0.2003643,0.0273224
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",2.27,2.27,actions:offsite_conversion.fb_pixel_purchase,1,23.779736,3.733553,0.324286,1.202749,582,608,0.20230263,0.02138158
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",10.08,,,,,3.459163,0.373333,0.909727,2858,2914,0.29649966,0.03877831
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",16.35,,,,,3.387197,0.259524,1.33362,4649,4827,0.28527035,0.03480423
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",16.11,,,,,3.413136,0.392927,0.890337,4605,4720,0.30127119,0.03919492
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",65.65,21.883333333333,actions:offsite_conversion.fb_pixel_purchase,3,2.740442,4.162176,0.250573,2.006275,12112,15773,0.2315983,0.02897356
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",1.68,,,,,3.725055,0.42,0.913242,438,451,0.22394678,0.01108647
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",16.92,,,,,3.347843,0.313333,1.102716,4897,5054,0.26810447,0.03423031
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",2.39,,,,,3.836276,0.398333,0.977199,614,623,0.18780096,0.02247191
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",20.73,,,,,3.296232,0.2764,1.221498,6140,6289,0.29654953,0.03832088
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",42.62,42.62,actions:offsite_conversion.fb_pixel_purchase,1,1.407086,3.565334,0.383964,1.00622,10932,11954,0.26392839,0.03521834
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",3.34,3.34,actions:offsite_conversion.fb_pixel_purchase,1,16.464072,4.217172,0.303636,1.267606,710,792,0.1969697,0.03409091
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",2.02,,,,,3.789869,0.288571,1.333333,525,533,0.23452158,0.03752345
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",2.53,,,,,3.764881,0.421667,0.903614,664,672,0.22321429,0.01785714
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",52.35,17.45,actions:offsite_conversion.fb_pixel_purchase,3,2.291117,3.521932,0.183042,2.170469,12624,14864,0.24932723,0.03875135
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",16.43,,,,,3.704622,0.248939,1.558379,4171,4435,0.28883878,0.03945885
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.5,,,,,3.355705,0.5,0.671141,149,149,0.23489933,0.04026846
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",98.76,16.46,actions:offsite_conversion.fb_pixel_purchase,6,3.643378,3.900936,0.271319,1.597085,22228,25317,0.22905558,0.02520046
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",1.05,,,,,9.292035,0.525,1.769912,113,113,0.30973451,0.02654867
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.83,,,,,3.896714,0.83,0.469484,213,213,0.23943662,0.01408451
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.82,,,,,3.28,,0,250,250,0.284,0.024
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",205.62,25.7025,actions:offsite_conversion.fb_pixel_purchase,8,2.282317,5.193867,0.445065,1.259214,35816,39589,0.25873349,0.02914951
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.71,,,,,4.22619,0.71,0.617284,162,168,0.30357143,0.0297619
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",51.81,12.9525,actions:offsite_conversion.fb_pixel_purchase,4,4.533874,3.124849,0.294375,1.103421,15316,16580,0.26580217,0.02828709
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.36,,,,,2.553191,0.18,1.41844,141,141,0.22695035,0.02836879
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",9.89,,,,,3.452007,0.412083,0.849858,2824,2865,0.31937173,0.02617801
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.36,,,,,2.647059,0.18,1.470588,136,136,0.22794118,0.05882353
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",10.55,,,,,5.702703,0.340323,1.72318,1799,1850,0.31135135,0.04918919
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",110.79,22.158,actions:offsite_conversion.fb_pixel_purchase,5,2.616572,2.885457,0.289269,1.055942,35608,38396,0.26791853,0.03177414
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",10.72,,,,,3.299477,0.315294,1.064163,3195,3249,0.30163127,0.03631887
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.56,,,,,7.179487,0.56,1.351351,74,78,0.37179487,0.06410256
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",10.35,,,,,4.054054,0.608824,0.671937,2530,2553,0.36349393,0.03525264
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.27,,,,,3.375,,0,78,80,0.15,0.0125
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",10.07,,,,,7.60574,0.629375,1.273885,1256,1324,0.32401813,0.04305136
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.55,,,,,3.395062,0.55,0.621118,161,162,0.27160494,0.04938272
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",10.06,10.06,actions:offsite_conversion.fb_pixel_purchase,1,5.961233,2.724073,0.295882,0.904357,3649,3693,0.27240726,0.02843217
2019-12-30,2023-01-30,"Different copy (Galaxy feed regular creative)",2020-03-21,"28-day click or 1-day view",23.31,,,,,4.91254,0.337826,1.510508,4568,4745,0.2687039,0.0337197
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",102.22,12.7775,actions:offsite_conversion.fb_pixel_purchase,8,5.456564,2.164761,0.176241,1.416074,40464,47220,0.33121559,0.06480305
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",309.95,17.219444444444,actions:offsite_conversion.fb_pixel_purchase,18,3.68795,2.727305,0.281773,1.186749,91679,113647,0.27546702,0.04895862
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.38,,,,,2.171429,,0,175,175,0.31428571,0.01714286
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.92,,,,,4.107143,0.46,0.896861,223,224,0.22321429,0.04910714
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.65,,,,,9.285714,0.325,2.941176,68,70,0.3,0.08571429
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",17.86,,,,,2.924992,0.255143,1.197917,5760,6106,0.23698002,0.04389125
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.41,,,,,1.924883,,0,212,213,0.16901408,0.02816901
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.64,,,,,5.87156,0.64,0.934579,107,109,0.27522936,0.06422018
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",72.06,18.015,actions:offsite_conversion.fb_pixel_purchase,4,3.328893,4.749852,0.395934,1.303838,13652,15171,0.22279349,0.03948322
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",1,,,,,2.506266,0.333333,0.761421,394,399,0.25062657,0.04260652
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",8.7,,,,,2.661364,0.395455,0.698191,3151,3269,0.26827776,0.03303763
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",19.94,,,,,2.816384,0.362545,0.814971,6626,7080,0.27867232,0.03516949
